,Ticket,Problem_Abstract,Ticket_Type,Team,Ticket_Opened_Date,Ticket_Closed
0,272431733,The CUC Database is not running on DURPRIPT7B,User,Prognosis,12/18/2019 14:20,7/27/2022 20:49
2,271472293,OPEN CR:Alerts not being generated  -  trap base devent,User,SMARTS/GFP_CPE,11/20/2019 18:33,12/23/2021 10:44
3,256576476,Enhancement to TWB Portal GPS SYNC Reports - Additional Column - GPS Responsibility Center,User,INCM (Voyence),2/19/2019 19:34,8/12/2022 16:35
4,271503232,Duplicated/ triplicated exceptions on Exception analysis,User,ATTLAS,11/21/2019 13:11,11/7/2021 11:22
8,277339571,"vnsd90, HPE account, JuniperRPM VitalArt issue",User,VitalNet Problems or Errors,5/8/2020 22:38,12/23/2021 10:44
11,278415259,incorrect speed detected by ATTLAS,User,ATTLAS,6/1/2020 8:58,1/15/2022 10:01
12,286984622,feature request for additional  DNS resolver IPs in ONE IP Table,User,NETBRAIN - Other,9/8/2020 12:51,10/12/2022 17:12
13,293665066,enable 2FA ,User,GTAC - Other,11/9/2020 20:59,8/12/2022 18:28
14,290962855,dmsFtp.ksh out of date on some GFP_CPE servers.,User,SMARTS/GFP_CPE,10/15/2020 21:08,4/1/2022 15:00
15,286961875,create new SEV 1 alert for NGOAM layer 2 loop detected syslog messages,User,SMARTS/GFP_CPE,9/7/2020 13:32,4/1/2022 15:02
18,273899468,We need to have smarts traps for Aruba wireless updated so when the controller sends an device up trap it can be recognized by the poller.,User,SMARTS/GFP_CPE,1/30/2020 20:52,12/27/2021 13:45
19,286050983,We need a complete list of domains used for the IBM Internal account including if they are 2FA enabled or not and including GTAC Server IP and Port information. ,User,GTAC - Audit or GTAC report data,8/13/2020 16:36,5/2/2022 17:57
20,290087882,"WPP GCSC new ticket for ""ticket suppression""",User,SMARTS/GFP_CPE,10/8/2020 17:31,4/1/2022 15:01
21,291758274,Vitelnet doesn't show interface name and description for vEdge devices,User,VitalNet Problems or Errors,10/23/2020 13:01,4/4/2022 12:00
22,295125907,VCSR Last Resort Lookup and history missing on GTAC web site ,User,GTAC,12/2/2020 21:24,5/2/2022 18:50
23,294986353,Unusually lengthy Benchmark run times for Unicredit,User,NETBRAIN,11/30/2020 18:30,8/12/2022 18:31
24,285786641,"Unable to see the relationship between Aruba WAP and WLC , similar to what we can see for CISCO AP & WLC.",User,NETBRAIN - Other,8/6/2020 17:48,10/12/2022 16:16
25,286526743,Unable to get root on ATTLAS servers required to pull old logs,User,ATTLAS,8/26/2020 18:46,1/15/2022 10:01
26,274609237,Unable to board two new devices on GTAC for existing account: IBM State of Arizona.  ,User,"GTAC - Account issues, password change",2/18/2020 22:57,6/17/2022 22:33
29,294504833,US Restricted: Additional BGP-links monitoring filter needs to be added to ASHE for TNET account,User,SMARTS/GFP_CPE,11/18/2020 19:12,3/16/2022 9:52
31,283130325,True rule to be created for the tickets in ISE AO,User,TRUE (Ticket Rules Update Engine),7/13/2020 19:26,9/12/2022 10:13
32,285824654,To Capture aged tickets ,User,TRUE (Ticket Rules Update Engine),8/7/2020 15:58,9/14/2022 3:24
33,278421920,The GMT offset not propagated to the interfaces of some devices,User,ATTLAS,6/1/2020 14:29,11/7/2021 11:23
34,291767458,TRUE | Require to support  GSSIM  clients  for daily operations ,User,TRUE (Ticket Rules Update Engine),10/23/2020 14:36,9/13/2022 7:55
35,287185945,Syslog messages forward to Shell collectors,User,SMARTS/GFP_CPE,9/10/2020 17:44,4/1/2022 15:02
36,273888261,Shell Device has incorrect interface speed,User,ATTLAS,1/30/2020 16:05,11/7/2021 11:23
38,290746217,Requesting TRUE Rules for 2 customer migrations (planned 20th Oct),User,TRUE (Ticket Rules Update Engine),10/13/2020 13:17,9/13/2022 10:56
40,286174960,Request to revoke Read-Write access to devices  ,User,GTAC,8/17/2020 17:19,6/22/2022 23:11
41,279104157,Request increased privileges for GTAC user,User,GTAC,6/11/2020 21:53,11/2/2022 21:11
49,276747412,Proposal to delete existing AIA GTAC domain before a RO domain is created ,User,GTAC,4/21/2020 12:46,8/15/2022 21:39
50,286695380,Problem to create external engagement,User,SMARTS/GFP_CPE,8/31/2020 17:34,4/1/2022 15:03
53,286555888,Please restore missing data - customer DXC Campbells,User,ATTLAS,8/27/2020 10:56,1/15/2022 10:01
54,283176662,Please remove configs from Action and other details for  device DOAGBBALLTX01R01,User,ACTION Suite - Other,7/14/2020 22:51,4/1/2022 15:03
56,286043222,Please open a ticket with network team to fix the devices as they cause load on ECI1,User,SMARTS/GFP_CPE,8/13/2020 11:58,1/15/2022 10:01
57,278270808,Please create a temporary userID is existing Domain: ,User,GTAC - Other,5/27/2020 14:28,6/17/2022 23:05
58,287439206,Please confirm that Prognosis is currently setup to alert/cut ticket if the following services on the Call Managers servers goes down.,User,Prognosis,9/16/2020 17:39,12/22/2021 16:07
59,275119641,Performance report do not populate  LOCATION for devices,User,ATTLAS,3/3/2020 14:10,1/15/2022 10:01
60,282079664,PCS Summary webpage for DHL; Need to understand why the DHL traffic value is 0.0 TB for the month of May ,User,ATTLAS,6/29/2020 23:52,1/15/2022 10:01
62,277753801,Non-Individual UserIDs have old sponsors in GTAC ,User,GTAC - Audit or GTAC report data,5/21/2020 16:54,11/2/2022 20:51
64,287084219,No CPU (utilization/memory) exceptions for Cisco switches 3650 and 3850 ,User,ATTLAS,9/9/2020 14:51,1/15/2022 10:01
66,286257415,New script to check if ECI is overloaded,User,NagiosXI,8/19/2020 16:18,3/16/2022 13:29
67,287437108,New script for changing Hilton tickets from WCB to WCC,User,TRUE (Ticket Rules Update Engine),9/16/2020 17:09,9/8/2022 6:42
69,285707251,New TRUE rule for Italy Domestic (Custom) tickets,User,TRUE (Ticket Rules Update Engine),8/4/2020 20:54,9/14/2022 9:07
72,286206707,"Need to verify Memory feed for customer Wolters Kluwer, MLAN service (Infovista) ",User,ATTLAS,8/18/2020 11:49,1/15/2022 10:01
73,278405656,Need to understand why the Honeywell traffic counts has tripled from the previous month,User,ATTLAS,5/31/2020 20:41,1/15/2022 10:01
74,283414054,Need to move tickets to MONITOR Workqueue,User,TRUE (Ticket Rules Update Engine),7/21/2020 18:56,9/14/2022 3:22
75,274471676,Need to include customer to PCS Active data customers ,User,ATTLAS,2/14/2020 10:48,1/15/2022 10:01
77,284280930,Need to build notification,User,TRUE (Ticket Rules Update Engine),7/27/2020 16:36,9/14/2022 3:24
80,289121632,Missing data for customer DXC Campbells,User,ATTLAS,9/30/2020 10:28,1/15/2022 10:01
82,286708443,ITONS/ILCM decommissioned devices are not being removed from SMARTS,User,SMARTS/GFP_CPE,8/31/2020 22:59,12/17/2021 14:06
83,276329110,"IBM Chubb account, RW user needs access to command:SBYr3925rVPNa(config)#no access-list 167 permit ip host xxxxxxx host xxxxxxxAuthorization request DENIED. You are NOT authorized to execute this command",User,GTAC,4/7/2020 20:59,6/22/2022 22:41
84,286250253,IBM Ace Insurance/ IBM Chubb (old name)  customer want to exclude all user ports from reports completely,User,ATTLAS,8/19/2020 11:57,1/15/2022 10:01
87,295426954,HP CEC server syslog ticketing update - slpv10031,User,SMARTS/GFP_CPE,12/11/2020 22:12,3/16/2022 9:52
88,290928854,Global table variables to API Parser issue,User,NETBRAIN - Other,10/15/2020 11:30,8/15/2022 21:51
89,284430279,GTAC User Access Reports for Conexus 2FA and Legacy domains,User,GTAC,7/28/2020 19:04,6/22/2022 23:06
90,292300487,Fingertip - Top Customer in Power BI,User,Fingertip,10/27/2020 21:47,1/28/2022 20:07
94,283383263,FINGERTIP TO DREAM,User,Fingertip,7/20/2020 23:14,1/28/2022 20:06
96,284260102,EMEA RGCSC Blank Work-Queue Rule ,User,TRUE (Ticket Rules Update Engine),7/27/2020 12:42,9/12/2022 10:08
102,282920416,Create a TRUE script to move AMEX/METLIFE tickets to GTS from SES worklist.,User,TRUE (Ticket Rules Update Engine),7/9/2020 15:02,9/12/2022 10:10
103,287519174,CHUBB customer wants to implement SNMP TRAP mac-notification,User,iGEMS CoE,9/17/2020 15:11,12/27/2021 13:44
106,287102219,Board client IBM ACS-CAMMIS into ATTLAS,User,ATTLAS,9/9/2020 19:03,1/15/2022 10:01
108,292376404,Board WPP into ATTLAS,User,ATTLAS,10/28/2020 21:48,1/15/2022 10:01
109,275637016,Bank of Ireland - Infovista vs Attlas utilization values differ for LAN port BOIIEMULH-SA48 _GIGABITETHERNET2/0/2 (100000K),User,ATTLAS,3/17/2020 16:47,1/15/2022 10:01
111,293131779,Attlas interfaces inventory not complete for SD-WAN devices,User,ATTLAS,11/4/2020 17:06,1/15/2022 10:01
112,275685622,Add an option for user to see history of request he approved,User,GTAC,3/18/2020 18:53,6/17/2022 22:39
113,278791055,Add MIBs for Audiocodes M4000 alarms,User,SMARTS/GFP_CPE,6/9/2020 15:15,4/1/2022 15:04
114,295622691,Active and Idle BGP Neighbors Script For Hewlett Packard Enterprise Company,User,SMARTS/GFP_CPE,12/18/2020 21:55,4/1/2022 14:57
115,286044042,Access Point Disassociated Flood tickets - IBM WPP,User,SMARTS/GFP_CPE,8/13/2020 12:47,3/16/2022 10:09
116,274351399,AVWOB/Aview Domain Group review in GTAC request ,User,GTAC - Other,2/11/2020 14:10,6/22/2022 22:32
117,286802885,ATTLAS showing unreal numbers for utilization ,User,ATTLAS,9/3/2020 11:59,1/15/2022 10:01
118,295044946,API access from NetBrain to Unicredit Check Point MDS,User,NETBRAIN,12/1/2020 14:59,10/14/2022 15:44
119,289743053,AOTS tickets Closure,User,TRUE (Ticket Rules Update Engine),10/5/2020 23:49,9/13/2022 7:21
120,286960679,ANT feed not working properly for some Flexware devices.Please assign this ticket to David Parnell.,User,SMARTS/GFP_CPE,9/7/2020 12:07,4/1/2022 15:02
121,287435803,4 DC devices which are missing last traffic data and interface information,User,ACAT,9/16/2020 16:52,1/15/2022 10:01
122,290045304,2FA settings to be visible in Domain Password Rules Audit Report,User,GTAC,10/8/2020 10:10,2/11/2022 16:47
123,288356519,000000287803200 - Did not appear in event portal ,User,TRUE (Ticket Rules Update Engine),9/22/2020 14:48,9/13/2022 10:02
125,296029520,TRUE SCRIPT 1649 malfunctioning,User,TRUE (Ticket Rules Update Engine),1/6/2021 3:31,9/13/2022 8:07
127,296099736,US restricted: Request for smarts to stop cutting tickets for non-impacting syslog warning message:  ,User,SMARTS/GFP_CPE,1/8/2021 13:51,4/1/2022 14:57
128,296100123,TRUE require access |  as part of GSSIM lead to  check on rules  for GSS Managed clients ,User,TRUE (Ticket Rules Update Engine),1/8/2021 14:14,9/13/2022 7:44
129,296107682,VRF support in Addtac,User,ADDTAC - Other,1/8/2021 18:26,6/1/2022 11:25
130,296189634,TRUE rule 1485 not working,User,TRUE (Ticket Rules Update Engine),1/12/2021 11:19,9/13/2022 9:12
132,296266387,New TRUE rule needed for VTS VRT tickets to stay as severity 2 during their lifetime,User,TRUE (Ticket Rules Update Engine),1/14/2021 10:11,9/22/2022 3:22
133,296360720,Issues with Cisco Firepower devices on Netbrain - Issue 1:NB not extracting config/ Issue 2: Not able to login to Firepower devices,User,NETBRAIN - Other,1/18/2021 12:05,10/13/2022 12:43
134,296431255,TRUE | To move the NCT of locked tickets,User,TRUE (Ticket Rules Update Engine),1/20/2021 15:21,9/14/2022 3:23
135,296457065,iGEMS event/traps information,User,SMARTS/GFP_CPE,1/21/2021 8:34,12/27/2021 13:41
136,296479859,Concierge reports - Fingertip,User,Fingertip,1/21/2021 22:42,1/28/2022 20:09
137,296481325,Fingertip -  Ethernet Processes>ASR Status>Ethernet Process Type,User,Fingertip,1/21/2021 23:25,1/28/2022 20:11
138,296501148,create a smarts CERT ,User,SMARTS/GFP_CPE,1/22/2021 16:51,4/1/2022 14:58
140,296617151,MIS/ADI line/Last resort password change - Friday Night/Saturday 3:00 AM Feb-06-2021,User,Global Password Changes,1/26/2021 21:55,5/31/2022 22:56
143,296721317,Vyatta GTAC Domain on ADI MECID needs to be in secrets attribute please,User,GTAC,1/29/2021 19:52,5/2/2022 18:33
145,296782311,Issue pulling in devices that need health checked this month.,User,INCM (Voyence),2/1/2021 18:28,11/26/2021 14:34
147,296811201,Account Prysmian Vitalnet don't collect data for switch devices.,User,VitalNet Problems or Errors,2/2/2021 15:13,3/31/2022 13:02
148,296814185,On Board Bank of Ireland,User,ATTLAS,2/2/2021 16:29,1/15/2022 10:01
152,296992342,Need Port down tiks blocked if sfpAbsent for ENO,User,SMARTS/GFP_CPE,2/8/2021 22:28,6/27/2022 15:23
153,297047010,Quikrete GTAC access issue,User,GTAC,2/10/2021 16:20,11/8/2022 17:41
158,297232556,TRUE Access is required for JT2829,User,TRUE (Ticket Rules Update Engine),2/16/2021 2:18,9/22/2022 7:33
159,297345946,911 AISwithes need to be monitored,User,SMARTS/GFP_CPE,2/17/2021 21:54,4/1/2022 14:40
160,297372102,Need a new true rule for Warner media customer,User,TRUE (Ticket Rules Update Engine),2/18/2021 15:30,9/13/2022 9:53
161,297372647,Upgrade 2 CEC Servers,User,SMARTS/GFP_CPE,2/18/2021 15:47,4/1/2022 14:40
164,297471465,TRUE rule 1142 update,User,TRUE (Ticket Rules Update Engine),2/22/2021 15:40,9/14/2022 3:29
165,297509974,[Ver. 8] MPLS cloud in path trace - can't see specific devices,User,Netbrain,2/23/2021 15:44,10/13/2022 12:59
166,297515381,"Ver 8: Looks like ""delta"" table function has issues after the upgrade",User,Netbrain,2/23/2021 18:03,10/13/2022 12:46
167,297631870,True server is not sending information to LCM tracker  - Production down more than 50 users impacted ,User,TRUE (Ticket Rules Update Engine),2/26/2021 19:47,9/13/2022 10:02
169,297806009,Request to access & Report on AOTS Opened and Closed ticket data for WOOB  ,User,Customer Advocacy and IS&NS Reporting,3/4/2021 11:29,9/13/2022 12:22
170,297806609,MRS Tasks Completed 2020 - Eli Lilly and Company,User,Global Delivery,3/4/2021 12:12,11/4/2021 11:57
171,297821508,TRUE 415 'Prevent Close' automation is not workiong,User,TRUE (Ticket Rules Update Engine),3/4/2021 20:43,9/13/2022 10:06
172,297824653,nm2727 - Qapp Scheduler for Macquarie account (show ip bgp neighbor - down) not sending emails ,User,NETBRAIN - Other,3/4/2021 22:22,7/31/2022 19:55
173,297915766,to prioritize customers email and work on those tickets,User,TRUE (Ticket Rules Update Engine),3/8/2021 18:01,9/13/2022 10:09
175,297973703,Transition existing Utilization/Productivity Excel based Dashboard into PBI,User,Customer Advocacy and IS&NS Reporting,3/10/2021 10:02,9/13/2022 12:38
176,297980246,CHange management reporting from SNOW data,User,Customer Advocacy and IS&NS Reporting,3/10/2021 15:09,9/12/2022 14:36
177,297999835,Attn: Alex Pierce - Org257 Advance Feature with MSR Requirement,User,Global Delivery,3/11/2021 0:47,1/20/2022 20:03
180,298120089,TRUE 415 for ILCM not processing Tickets,User,TRUE (Ticket Rules Update Engine),3/15/2021 15:54,9/13/2022 10:11
183,298180180,Autozone dashboard (Bulk request to disconnect 6000 circuits),User,Global Delivery,3/17/2021 10:06,4/14/2022 16:11
184,298262473,DATA PULL FOR PALINAR POC,User,Global Delivery,3/19/2021 18:14,1/28/2022 6:59
185,298356003,TRUE rules do not work,User,TRUE (Ticket Rules Update Engine),3/23/2021 14:30,9/13/2022 10:47
186,298394515,Incident severity modification on the VitalReal generated incidents for GSNI Belgium,User,TRUE (Ticket Rules Update Engine),3/24/2021 15:50,9/13/2022 10:30
188,298434464,We need to be able to report out on CNRs,User,Service Assurance Data,3/25/2021 18:53,2/17/2022 2:41
189,298458614,incident text change,User,SMARTS/GFP_CPE,3/26/2021 13:47,4/1/2022 14:42
190,298471714,US restricted: Need to find out why IP-SLA counters aren't being collected,User,VitalNet Problems or Errors,3/26/2021 19:47,12/15/2021 12:17
193,298563765,Add Conditions to EEHA rules for Arcadis,User,SMARTS/GFP_CPE,3/30/2021 15:45,4/1/2022 14:43
194,298641918,JIRA PowerBI Cube,User,Customer Advocacy and IS&NS Reporting,4/1/2021 20:50,9/2/2022 9:28
197,298719679,Please add below teams in my True profile. Please assign the ticket to rb4068,User,TRUE (Ticket Rules Update Engine),4/5/2021 12:06,9/22/2022 7:41
199,298772877,WarnerMedia users cannot access GTAC ,User,GTAC - Other,4/6/2021 23:57,5/2/2022 18:07
200,298786946,TRUE rule 660 probably expired,User,TRUE (Ticket Rules Update Engine),4/7/2021 10:20,9/13/2022 10:36
201,298794194,"Getting intermittent responses from Cisco IP/SLA Jitter probes, effecting weekly SLAs on DHL suite",User,VitalNet Problems or Errors,4/7/2021 15:58,4/4/2022 12:09
202,298823823,Multiple errors trying to login or use Voyence,User,INCM (Voyence),4/8/2021 13:23,4/4/2022 11:22
203,298831174,Update CTA Complete and ATT Ready for EFMS-2201206 on 4 Panel Report,User,Global Delivery,4/8/2021 17:24,11/18/2022 15:36
206,298974507,Fail to run - 1655,User,TRUE (Ticket Rules Update Engine),4/13/2021 20:21,9/14/2022 3:23
208,299009313,Provide access to HVS data.,User,Global Delivery,4/14/2021 20:26,7/11/2022 15:45
209,299012786,Attn: Alex Pierce - Org257 Enhancement for Advance Feature with IDAT USO,User,Global Delivery,4/14/2021 22:19,1/20/2022 20:05
210,299146333,To Support AOTS TM UAT testing for Flexware -PID(403315b),User,SMARTS/GFP_CPE,4/19/2021 23:08,4/1/2022 14:44
211,299207152,Attn: Alex Pierce - Add Fields to FFLOW Org 240 - Global Ordering,User,Global Delivery Data & Analytics,4/21/2021 18:37,1/20/2022 19:58
212,299246289,Data Feed for AOTS CM,User,"Customer Advocacy, SI&NS and Cybersecurity Data & Analytics",4/22/2021 23:15,9/8/2022 13:54
216,299473747,Need Help Determine if GTAC Authentication Requests for Social Security Admin assets are making it to the GTAC Servers.,User,GTAC - Other,4/30/2021 16:27,8/23/2022 15:43
217,299549099,Need a bi-weekly AVPN MACD report,User,Global Delivery Data & Analytics,5/3/2021 19:25,1/6/2022 23:04
218,299610121,Create a new customer in ATTLAS,User,ATTLAS,5/5/2021 9:40,1/15/2022 10:01
219,299664860,addtac not working for City of Dallas,User,ADDTAC - Problem Management (ADDTAC Problem) ,5/6/2021 21:06,4/1/2022 14:45
220,299691661,Provide list of devices on durnm403b failing snmp,User,SMARTS/GFP_CPE,5/7/2021 18:42,1/6/2022 14:56
221,299699833,Request change in smoothing interval for ENO - AP Dissassociate tickets,User,SMARTS/GFP_CPE,5/8/2021 0:12,4/1/2022 14:45
