Ticket,Problem_Abstract,,
306416331,BLMO ALRMS - TOUR'S START,,
306423610,V211200276 & V211200279 CFB: Cheez-It Bowl: Clemson vs Iowa State,,
306428596,BLMO ALRMS - TOUR'S END,,
306428597,DAILY T/U  - 13 -,,
306435661,Reference V220100002,,
306435663,Reference V220100003,,
306435668,Reference V220100005,,
306441232,"GTAC login failure

",,
306440903,"not able to login IBM LAN device using GTAC

",,
306446422,"Don't have the access to GTAC TACACS Log Viewer for approved GTAC Domains 

",,
306447433,GTAC domain password rules,,
306454202,"GTAC Customer domain reports

",,
306410227,V211200189 PORTLAND TRAILBLAZERS @ LA,,
306428595,BLMO ALRMS - TOUR'S START,,
306416334,DIAMOND SPORTS # 72049  LOR  toggle cleared,,
306416332,BLMO ALRMS - TOUR'S END,,
306421879,Reference V220100001,,
306410225,V211200268 SDSU AT UNLV TEST,,
306458799,"mechid m32239 is locked, suspect Cisco DNAC...please provide logs on what device causing issue 

",,
306456027,Attn: Alex Pierce - ORG 257 - New Fields Add Request to PBI Tabular,,
306463978,Change GTAC Network Owner,,
306416333,DAILY T/U  - 5 -,,
306416335,DIAMOND SPORTS # 72053  LOR  toggle cleared,,
306454616,"Remove users from domain group DXC Customers - DXC Vattenfall

",,
306459005,Attn: Alex Pierce - Org 257 IPTF & ADVF - NOW Dataset Requirement,,
306418818,V211200550 DEN_LAC 100m P2P HL Path & V211200551 DEN_LAC 100m P2P HL Path,,
306410886,V211200328 Portland Trail Blazers Moda Center,,
306435664,Reference V220100004,,
306472373,V211200165 & V211200170  WWE RAW - DATA,,
306474751,BLMO ALRMS - TOUR'S START  TCWD 1/3/22,,
306474752,BLMO ALRMS - TOUR'S START,,
306476793,BLMO ALRMS - TOUR'S END   TCWD 1/3/22,,
306476796,DAILY T/U  - 2 -   TCWD 1/3/22,,
306476797,DAILY T/U  - 1 -,,
306482004,L6YX 781610,,
306483696,BFEC 515838,,
306476794,BLMO ALRMS - TOUR'S END,,
306450917,AOTS 306084991   | multiple traps for NTP_CONFIG_FAILED on 16th Dec due to Shared Durham and Mesa poller migrationsCustomer wan to know why traps are not suppressed for this known scheduled activity. Please let us know who own this poller migrations,,
306485172,BFEC 594881,,
