iter	RMSE
0	1776.623146
1	1550.053656
2	1305.198148
3	1134.547624
4	1043.844873
5	961.2432633
6	902.3245721
7	863.7856052
8	851.9301849
9	829.6709032
10	817.3684449
11	808.6182387
12	803.6761376
13	796.1743949
14	782.2672464
15	779.5793459
16	777.4389082
17	775.401629
18	771.7097258
19	765.0171193
20	761.445839
21	760.0283637
22	757.1308273
23	754.0184958
24	748.4488276
25	743.8597021
26	742.178032
27	739.731201
28	738.4826689
29	734.424048
30	733.7828143
31	729.9310116
32	727.7775193
33	723.4847638
34	722.8030133
35	720.2191744
36	715.7551127
37	713.0058616
38	710.5551134
39	709.7675337
40	705.7829417
41	705.2264787
42	702.5764653
43	700.0038419
44	697.8485563
45	696.4714959
46	694.7441205
47	692.8284912
48	690.2679924
49	689.7624971
50	686.4730167
51	684.4280032
52	684.0690481
53	682.1616452
54	679.7747147
55	678.3468169
56	675.1519157
57	673.4313523
58	671.9623474
59	671.6203169
60	669.3991139
61	666.9135515
62	665.9785
63	665.0509922
64	664.7723547
65	663.2460155
66	661.9651672
67	660.4822675
68	660.2450265
69	660.0559732
70	659.3685467
71	659.1121555
72	657.9676689
73	656.7663738
74	655.8566257
75	654.2877607
76	653.9693302
77	652.4510112
78	651.4951006
79	649.8592138
80	648.3001391
81	647.7476865
82	646.417635
83	645.7144151
84	644.6103135
85	643.6929507
86	643.5428126
87	643.2894913
88	643.0306485
89	641.6931317
90	640.9828166
91	640.1739237
92	639.2048401
93	638.3270074
94	638.1812193
95	637.9111771
96	636.2801118
97	634.7142932
98	633.4198694
99	633.3285034
100	632.0517207
101	630.9336904
102	630.4077999
103	629.743482
104	629.2626756
105	628.7718783
106	627.3040445
107	627.1983657
108	626.2818997
109	626.1947524
110	625.8512132
111	624.7996878
112	624.0108586
113	623.5216374
114	623.4404626
115	622.5332885
116	621.7844228
117	621.647647
118	621.3940799
119	620.5445683
120	620.408053
121	619.0518966
122	618.715165
123	617.9154698
124	617.0840827
125	616.8264402
126	616.4167569
127	615.9490329
128	615.6717608
129	615.5982791
130	614.8640852
131	614.5712628
132	614.5079549
133	614.4324114
134	613.0779216
135	611.7753933
136	611.7239054
137	611.1640056
138	610.8633658
139	609.3753007
140	608.3447823
141	608.2959332
142	607.3724543
143	606.7186445
144	606.4841104
145	605.8216885
146	605.4487384
147	604.5834641
148	603.5036383
149	603.2252828
150	602.9621332
151	601.3331956
152	600.8423749
153	600.6627701
154	600.4637705
155	600.194873
156	600.1447879
157	599.5084286
158	599.2696633
159	598.2370122
160	597.9689451
161	597.672878
162	597.3093204
163	596.7855501
164	596.1748719
165	595.3465476
166	594.8359482
167	594.2709617
168	593.4511105
169	592.8344016
170	592.7955892
171	591.01423
172	590.701688
173	590.5073214
174	590.0639753
175	589.9180868
176	589.0164924
177	588.624363
178	587.8745765
179	587.8230838
180	586.7120103
181	586.333923
182	585.5856182
183	585.2062985
184	584.9519577
185	584.7590218
186	583.8882742
187	583.4538063
188	583.3238318
189	582.7552904
190	582.3143649
191	581.8316524
192	581.4167598
193	580.6421308
194	580.5900831
195	580.4444451
196	579.9208285
197	579.8348908
198	579.4789376
199	579.0122487
200	578.4335472
201	577.8271387
202	577.1508548
203	577.0957478
204	576.5793678
205	576.3973484
206	576.123548
207	576.0903388
208	575.5156436
209	575.4227175
210	575.170039
211	574.3702007
212	574.251876
213	574.0161589
214	573.6807981
215	573.3882403
216	573.2640304
217	572.6319559
218	572.4420645
219	572.250539
220	572.1264281
221	570.2660847
222	569.7637171
223	569.0611461
224	568.947928
225	568.8362146
226	568.8084207
227	568.7864401
228	568.4726153
229	567.1947023
230	567.1204977
231	567.0229228
232	566.7428116
233	566.7055189
234	566.252853
235	565.4627897
236	565.2299567
237	565.0324115
238	564.5156436
239	564.3768878
240	564.1820033
241	563.7536749
242	563.3419548
243	563.1610709
244	562.7321362
245	562.4748715
246	562.1502683
247	561.8311781
248	561.7948573
249	561.5204067
250	560.2864071
251	559.5891042
252	559.5707039
253	559.4633798
254	559.035165
255	558.6203091
256	558.5604631
257	557.530665
258	557.2512937
259	556.7979674
260	556.2072465
261	556.0461179
262	555.7921562
263	555.598998
264	555.4870695
265	555.466783
266	555.1361082
267	555.1176684
268	554.9790964
269	554.6829835
270	554.2824182
271	554.0394945
272	553.8249852
273	553.5509081
274	552.8590909
275	552.6739976
276	552.262127
277	551.8940183
278	550.9426549
279	550.6399152
280	550.4793385
281	550.20454
282	549.9745791
283	549.7529448
284	549.7302099
285	549.7147134
286	549.6183048
287	548.7975289
288	548.3273301
289	548.1183142
290	547.5531246
291	547.4265216
292	547.3525637
293	547.069713
294	546.7926777
295	546.2985492
296	545.7269428
297	545.712631
298	545.6596672
299	545.2916209
300	544.8945514
301	544.5311983
302	544.2613255
303	543.9830912
304	543.7312437
305	543.6829879
306	543.6682858
307	543.5992811
308	543.2235256
309	542.5068811
310	542.4208337
311	542.3507788
312	541.953616
313	541.5828322
314	541.266114
315	540.5708514
316	539.3453816
317	538.9719711
318	538.8742047
319	538.501914
320	538.1064828
321	536.298393
322	536.2278935
323	535.8856592
324	535.0072487
325	534.7239943
326	533.4383797
327	533.381624
328	533.1438102
329	532.8494965
330	532.791593
331	532.1653601
332	531.9766389
333	531.9683888
334	531.6364143
335	531.2801568
336	531.0737342
337	530.8973627
338	529.4461143
339	529.3114813
340	529.1831365
341	529.1149808
342	529.0636016
343	528.8092029
344	528.7621608
345	528.6885303
346	528.5543701
347	528.1256192
348	527.8173488
349	527.6517012
350	527.4116767
351	527.1154761
352	526.9750014
353	526.7188139
354	526.2093766
355	526.189929
356	525.9243142
357	525.5089664
358	525.3027713
359	524.9247147
360	524.6997667
361	524.6395014
362	524.5081085
363	523.9750608
364	523.8917003
365	522.4906269
366	522.2871039
367	521.4235293
368	521.3499827
369	521.2514977
370	520.6531452
371	520.6262204
372	520.3795098
