iter	Passed	Remaining
0	1	1984
1	3	1576
2	4	1537
3	6	1497
4	7	1463
5	9	1492
6	10	1485
7	12	1510
8	13	1490
9	18	1854
10	20	1834
11	21	1805
12	23	1786
13	25	1765
14	26	1768
15	28	1732
16	30	1753
17	31	1741
18	33	1722
19	34	1713
20	36	1695
21	37	1681
22	39	1666
23	40	1657
24	42	1650
25	44	1654
26	46	1677
27	48	1670
28	49	1656
29	51	1651
30	52	1642
31	54	1636
32	55	1632
33	58	1655
34	60	1672
35	62	1670
36	65	1694
37	66	1692
38	68	1691
39	71	1709
40	72	1704
41	75	1714
42	77	1720
43	80	1748
44	85	1809
45	86	1804
46	90	1841
47	94	1865
48	95	1855
49	97	1848
50	98	1841
51	100	1831
52	102	1828
53	105	1849
54	109	1874
55	112	1895
56	114	1893
57	116	1888
58	118	1886
59	120	1887
60	122	1885
61	124	1882
62	126	1877
63	132	1941
64	136	1959
65	138	1954
66	140	1949
67	141	1945
68	143	1937
69	145	1927
70	146	1918
71	148	1910
72	150	1906
73	152	1902
74	153	1896
75	155	1889
76	156	1881
77	158	1873
78	160	1870
79	162	1864
80	164	1868
81	166	1861
82	169	1868
83	171	1866
84	172	1860
85	174	1853
86	176	1847
87	177	1839
88	179	1840
89	182	1843
90	183	1837
91	186	1840
92	187	1832
93	189	1825
94	190	1817
95	192	1817
96	196	1825
97	197	1820
98	199	1814
99	201	1809
100	202	1804
101	204	1799
102	206	1795
103	208	1792
104	209	1786
105	211	1780
106	214	1790
107	215	1783
108	217	1777
109	218	1770
110	220	1766
111	222	1765
112	224	1760
113	225	1754
114	227	1747
115	228	1741
116	229	1735
117	231	1728
118	232	1722
119	234	1716
120	236	1714
121	237	1711
122	239	1706
123	241	1703
124	242	1698
125	244	1693
126	246	1691
127	247	1685
128	249	1682
129	251	1682
130	252	1677
131	254	1674
132	256	1669
133	257	1663
134	258	1658
135	260	1653
136	261	1647
137	263	1645
138	265	1644
139	267	1641
140	268	1636
141	270	1632
142	271	1628
143	273	1623
144	274	1618
145	275	1614
146	277	1609
147	279	1607
148	280	1604
149	282	1600
150	283	1595
